Codigo do Investidor;Data de Adesao;Estado Civil;Genero;Profissao;Idade;UF do Investidor;Cidade do Investidor;Pais do Investidor;Situacao da Conta;Operou 12 Meses
160863;14/11/2008;Casado(a) com brasileiro(a) nato(a);M;PROFISSIONAL LIBERAL;69;SP;SAO PAULO;BRASIL;D;N
161425;26/11/2008;Solteiro(a);M;BANCARIO E ECONOMIÁRIO;36;SP;SAO PAULO;BRASIL;D;N
162229;24/11/2008;Solteiro(a);M;ADMINISTRADOR;62;SP;SAO PAULO;BRASIL;D;N
163502;02/12/2008;Casado(a) com brasileiro(a) nato(a);F;ADMINISTRADOR;48;SP;SAO PAULO;BRASIL;D;N
163503;02/12/2008;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);62;SP;SAO PAULO;BRASIL;D;N
163965;04/12/2008;Solteiro(a);F;OUTROS;56;SP;OSASCO;BRASIL;D;N
164460;09/12/2008;Casado(a) com brasileiro(a) nato(a);M;EMPRESÁRIO;35;SP;SAO PAULO;BRASIL;D;N
164912;11/12/2008;Casado(a) com brasileiro(a) nato(a);M;ENGENHEIRO;70;SP;SAO PAULO;BRASIL;D;N
165560;17/12/2008;Solteiro(a);M;BANCARIO E ECONOMIÁRIO;35;SP;SAO PAULO;BRASIL;D;N
166190;22/12/2008;Solteiro(a);F;OUTROS;66;SP;SAO PAULO;BRASIL;D;N
166916;29/12/2008;Casado(a) com brasileiro(a) nato(a);M;BANCARIO E ECONOMIÁRIO;55;SP;SAO PAULO;BRASIL;D;N
167718;07/01/2009;Solteiro(a);F;SERVIDOR PÚBLICO FEDERAL;58;SP;SAO PAULO;BRASIL;D;N
167888;08/01/2009;Casado(a) com brasileiro(a) nato(a);F;ADMINISTRADOR;43;SP;SANTANA DE PARNAIBA;BRASIL;D;N
169303;19/01/2009;Casado(a) com brasileiro(a) nato(a);M;PROFESSOR DE ENSINO SUPERIOR;48;SP;SAO PAULO;BRASIL;D;N
169310;19/01/2009;Casado(a) com brasileiro(a) nato(a);F;COMUNICÓLOGO;42;SP;SAO PAULO;BRASIL;D;N
169949;23/01/2009;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);79;SP;SAO CAETANO DO SUL;BRASIL;D;N
171574;06/02/2009;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;54;SP;SAO PAULO;BRASIL;D;N
172977;20/02/2009;Solteiro(a);F;PUBLICITÁRIO;46;SP;SAO PAULO;BRASIL;D;N
172978;20/02/2009;Casado(a) com brasileiro(a) nato(a);F;GERENTE;76;SP;SAO PAULO;BRASIL;D;N
172987;20/02/2009;Casado(a) com brasileiro(a) nato(a);M;ADVOGADO;60;SP;SAO PAULO;BRASIL;D;N
173070;27/02/2009;Casado(a) com brasileiro(a) nato(a);M;GERENTE;52;SP;ITAPETININGA;BRASIL;D;N
173284;26/02/2009;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;38;SP;SAO PAULO;BRASIL;D;N
173747;03/03/2009;Solteiro(a);M;ADVOGADO;41;SP;SAO PAULO;BRASIL;D;N
174495;10/03/2009;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;42;SP;SAO PAULO;BRASIL;D;N
174711;12/03/2009;Solteiro(a);F;GEÓGRAFO;70;SP;SAO PAULO;BRASIL;D;N
175849;25/03/2009;Casado(a) com brasileiro(a) nato(a);M;OUTROS;76;SP;SAO PAULO;BRASIL;D;N
176279;30/03/2009;Casado(a) com brasileiro(a) nato(a);M;TRABALHADOR AUTÔNOMO;49;SC;BLUMENAU;BRASIL;D;N
176517;14/03/2013;Casado(a) com brasileiro(a) nato(a);M;ECONOMISTA;52;SP;SAO PAULO;BRASIL;D;N
177141;08/04/2009;Casado(a) com brasileiro(a) nato(a);F;ADVOGADO;39;SP;SAO PAULO;BRASIL;D;N
177481;13/04/2009;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;61;SP;SAO PAULO;BRASIL;D;N
177685;14/04/2009;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);70;SP;JAU;BRASIL;D;N
177702;14/04/2009;Solteiro(a);M;EMPRESÁRIO;38;SP;SAO PAULO;BRASIL;D;N
177855;16/04/2009;Desquitado(a);F;ENGENHEIRO;48;SP;SAO PAULO;BRASIL;D;N
